Attempt,Bin,,
1,-5,,
2,-2,,
3,1,,
4,5,,
5,9,,
6,-4,,
7,-4,,
8,-2,,
9,5,,
10,7,,
11,-5,,
12,0,,
13,3,,
14,3,,
15,4,,
16,9,,
17,6,,
18,1,,
19,1,,
20,3,,
21,-1,,
22,3,,
23,2,,
24,3,,
25,12,,
26,-6,,
27,1,,
28,2,,
29,0,,
30,-2,,
31,4,,
32,4,,
33,2,,
34,0,,
35,-10,,
36,-9,,
37,-5,,
38,11,,
39,0,,
40,3,,
41,-4,,
42,-4,,
43,-2,,
44,-1,,
45,2,,
46,-16,,
47,-4,,
48,-1,,
49,3,,
50,5,,
51,-11,,
52,-1,,
53,2,,
54,6,,
55,6,,
56,-10,,
57,-5,,
58,0,,
59,2,,
60,6,,
61,-5,,
62,-1,,
63,6,,
64,3,,
65,10,,
66,-2,,
67,-2,,
68,3,,
69,6,,
70,7,,
71,-2,,
72,1,,
73,3,,
74,2,,
75,4,,
76,-10,,
77,-3,,
78,1,,
79,2,,
80,3,,
81,-5,,
82,-4,,
83,-1,,
84,2,,
85,3,,
86,-10,,
87,-3,,
88,-4,,
89,-1,,
90,2,,
91,-4,,
92,-1,,
93,3,,
94,5,,
95,9,,
96,-2,,
97,-1,,
98,0,,
99,1,,
100,8,,
101,-7,,
102,-1,,
103,4,,
104,4,,
105,6,,
106,3,,
107,-3,,
108,0,,
109,3,,
110,2,,
111,1,,
112,-2,,
113,-1,,
114,-3,,
115,2,,
116,-4,,
117,0,,
118,2,,
119,4,,
120,4,,
121,-12,,
122,-7,,
123,-5,,
124,0,,
125,1,,
126,-3,,
127,0,,
128,1,,
129,5,,
130,7,,
131,-2,,
132,-1,,
133,3,,
134,6,,
135,9,,
136,-4,,
137,-1,,
138,1,,
139,4,,
140,5,,
141,-7,,
142,-6,,
143,0,,
144,1,,
145,5,,
146,-1,,
147,1,,
148,2,,
149,3,,
150,6,,
